txn_id,atm_id,txn_time,amount,from_acc,to_acc,is_fraud
b70e99a4,ATM_0129,2024-02-22 00:06:00,1000,A46972,A29284,False
80a0ae69,ATM_0036,2024-01-20 02:33:00,1000,A62595,A72961,False
7c8b8004,ATM_0067,2024-02-27 18:44:00,5000,A73057,A14935,False
24cd93a1,ATM_0173,2024-01-16 23:22:00,500,A22777,A15694,False
775a8344,ATM_0025,2024-02-06 00:22:00,500,A52899,A73394,False
79b02080,ATM_0060,2024-02-04 12:17:00,5000,A57640,A82599,False
a25d9a5e,ATM_0147,2024-01-24 14:12:00,10000,A95161,A11421,False
b1d09c34,ATM_0040,2024-02-24 20:44:00,5000,A73911,A48551,False
825bfbb9,ATM_0040,2024-01-11 19:15:00,1000,A82349,A50219,False
268ee71e,ATM_0105,2024-01-26 08:52:00,2000,A44381,A31316,False
ad366525,ATM_0040,2024-02-27 06:46:00,2000,A51245,A46364,False
c34a50e8,ATM_0006,2024-01-03 05:27:00,5000,A73183,A84233,False
e99005b5,ATM_0114,2024-01-13 18:52:00,1000,A80806,A74013,False
2e51cee7,ATM_0099,2024-01-27 09:52:00,500,A26772,A97660,False
986c9324,ATM_0164,2024-01-30 13:27:00,500,A74640,A49490,False
777f5464,ATM_0071,2024-02-23 03:36:00,2000,A70999,A56784,False
b771949a,ATM_0174,2024-02-10 10:16:00,500,A52290,A81978,False
2ca31541,ATM_0133,2024-01-30 04:31:00,500,A36515,A96811,False
4164e60b,ATM_0057,2024-01-28 14:43:00,2000,A58562,A23762,False
4f87b877,ATM_0151,2024-01-06 02:39:00,2000,A86597,A38062,False
66934977,ATM_0089,2024-02-05 21:41:00,500,A41959,A19823,False
6d4ea8ca,ATM_0073,2024-02-19 13:05:00,5000,A25441,A21387,False
1207c210,ATM_0199,2024-01-19 00:47:00,1000,A98543,A44369,False
dab753a4,ATM_0088,2024-01-30 09:50:00,5000,A15607,A16248,False
044580de,ATM_0170,2024-02-24 11:58:00,2000,A93927,A69023,False
355facbd,ATM_0124,2024-01-30 07:04:00,1000,A32987,A43000,False
bc114746,ATM_0160,2024-02-17 22:18:00,1000,A90376,A41169,False
8220baed,ATM_0117,2024-01-07 07:59:00,10000,A83064,A90053,False
fa26f47e,ATM_0106,2024-02-08 18:44:00,1000,A35912,A23142,False
88cd157a,ATM_0186,2024-01-22 20:04:00,1000,A32309,A37619,False
504ccb93,ATM_0088,2024-01-29 13:43:00,1000,A29817,A55396,False
bd4b25a1,ATM_0078,2024-01-24 07:53:00,5000,A15298,A32414,False
33b912b3,ATM_0081,2024-01-26 14:39:00,500,A84455,A20173,False
e1a55597,ATM_0118,2024-02-26 06:02:00,1000,A12848,A55001,False
b051c5fa,ATM_0076,2024-02-03 03:42:00,1000,A90842,A93072,False
15eb4ee2,ATM_0010,2024-02-28 12:21:00,5000,A93107,A24992,False
304b868c,ATM_0129,2024-01-23 05:54:00,500,A93924,A88868,False
96559d4d,ATM_0004,2024-01-17 04:07:00,5000,A27701,A62795,False
63565733,ATM_0064,2024-01-19 11:52:00,2000,A49204,A68337,False
143e8f63,ATM_0081,2024-02-10 01:31:00,5000,A63306,A88512,False
08687b8b,ATM_0073,2024-01-19 17:17:00,500,A23739,A87591,True
524de4f0,ATM_0024,2024-01-16 23:06:00,5000,A22351,A95788,False
b454cefd,ATM_0142,2024-02-20 08:13:00,1000,A15021,A20329,False
431de0f5,ATM_0194,2024-02-26 05:09:00,1000,A49115,A57989,False
4bd3d6b0,ATM_0145,2024-02-12 22:32:00,500,A59102,A80937,False
e11bda72,ATM_0167,2024-01-15 07:36:00,10000,A83166,A51309,False
1964751b,ATM_0129,2024-02-29 07:38:00,5000,A38348,A92742,False
37b5f06f,ATM_0137,2024-01-18 23:47:00,1000,A28854,A88839,False
b8e9e33b,ATM_0165,2024-02-16 15:47:00,500,A97590,A23786,False
11f172d4,ATM_0046,2024-02-21 11:38:00,5000,A87343,A10498,False
dc2ee0e0,ATM_0076,2024-01-30 06:38:00,500,A35348,A37767,False
6266e3bf,ATM_0136,2024-01-28 18:36:00,1000,A27149,A62571,False
eccabca7,ATM_0034,2024-01-12 20:15:00,1000,A86581,A51776,False
9d5b6f86,ATM_0097,2024-02-29 02:12:00,5000,A48642,A18627,False
dbb65102,ATM_0130,2024-02-13 19:50:00,5000,A66176,A52309,False
b146e319,ATM_0163,2024-02-27 21:20:00,10000,A21276,A29128,False
fb30e5ca,ATM_0066,2024-01-27 08:34:00,500,A93558,A60085,False
b2fb9235,ATM_0168,2024-02-18 07:05:00,1000,A33784,A20365,True
7e9ccdf6,ATM_0102,2024-02-17 20:09:00,500,A21831,A68303,False
c297a3bf,ATM_0114,2024-01-25 03:27:00,1000,A13594,A95278,False
267ad7d2,ATM_0008,2024-01-09 15:14:00,2000,A49217,A94629,False
f6c157b8,ATM_0118,2024-01-06 17:52:00,1000,A46118,A86101,False
e59b6a43,ATM_0169,2024-02-02 03:08:00,5000,A52380,A45171,False
47d95ff8,ATM_0096,2024-01-19 08:44:00,500,A47978,A20223,False
5a145f5b,ATM_0152,2024-01-04 07:05:00,500,A73585,A11608,False
3458306e,ATM_0118,2024-01-28 10:04:00,1000,A49546,A61000,False
872e9865,ATM_0036,2024-02-13 08:29:00,1000,A82573,A83902,False
a8a45fcc,ATM_0198,2024-01-13 18:24:00,10000,A36845,A60419,False
22750c19,ATM_0165,2024-02-10 17:05:00,1000,A45109,A73147,False
f7e1285e,ATM_0030,2024-02-17 10:26:00,500,A65531,A97696,False
da9c45cb,ATM_0081,2024-01-10 15:22:00,1000,A55914,A85511,False
696b7243,ATM_0007,2024-02-12 18:32:00,10000,A52410,A27949,False
159be6c1,ATM_0099,2024-02-22 22:22:00,2000,A23964,A61210,False
3133b31c,ATM_0122,2024-02-01 15:24:00,2000,A77620,A96691,False
fedbfa12,ATM_0183,2024-02-08 21:45:00,5000,A84868,A82299,False
e1e7b2f0,ATM_0191,2024-02-02 11:33:00,1000,A12917,A70296,False
c82adb3f,ATM_0085,2024-01-17 13:57:00,2000,A51352,A61704,False
d8d90374,ATM_0026,2024-01-14 02:00:00,5000,A38550,A49028,False
1856188d,ATM_0191,2024-01-07 12:12:00,500,A84121,A95363,False
92479915,ATM_0011,2024-02-29 10:38:00,2000,A13089,A77482,False
31cc0b4d,ATM_0197,2024-02-22 06:36:00,5000,A69371,A33669,False
be40f366,ATM_0083,2024-01-19 03:03:00,500,A66432,A23511,False
b66cb996,ATM_0182,2024-01-16 18:41:00,500,A83857,A43489,False
338cbdfa,ATM_0134,2024-01-15 01:19:00,500,A70319,A38590,False
3e036745,ATM_0174,2024-02-01 09:23:00,1000,A68980,A99638,False
7a0844e9,ATM_0138,2024-01-18 04:33:00,500,A29513,A10874,False
583cb7bd,ATM_0058,2024-01-02 19:44:00,5000,A68214,A53511,False
2e71b8c8,ATM_0087,2024-02-12 04:57:00,1000,A30059,A44106,False
18c786ab,ATM_0062,2024-02-06 04:02:00,1000,A26386,A88632,False
65091c7f,ATM_0157,2024-02-26 18:10:00,5000,A97696,A56769,False
14a04be8,ATM_0170,2024-02-14 05:28:00,500,A30576,A73053,False
ced70b01,ATM_0052,2024-01-05 07:57:00,1000,A33962,A78755,False
ffce0201,ATM_0144,2024-01-26 14:50:00,1000,A19062,A97760,False
aa36b2f8,ATM_0080,2024-02-27 02:31:00,2000,A80621,A37766,False
5442a2c7,ATM_0160,2024-02-02 18:39:00,500,A88595,A52571,False
87653a7e,ATM_0076,2024-02-27 11:18:00,500,A67366,A22504,False
76d90dd8,ATM_0107,2024-02-08 10:34:00,1000,A69771,A12573,False
1ad9870a,ATM_0137,2024-01-07 13:30:00,2000,A88720,A16338,False
a5122851,ATM_0128,2024-02-02 05:53:00,1000,A60942,A17192,False
76ac61fb,ATM_0051,2024-01-24 06:22:00,5000,A51448,A72306,False
1a475954,ATM_0120,2024-01-24 09:07:00,5000,A33033,A90797,False
c50e5679,ATM_0037,2024-01-23 10:18:00,5000,A90078,A51146,False
b57bd86a,ATM_0095,2024-01-04 16:21:00,500,A44899,A67057,False
fb245b7b,ATM_0048,2024-01-07 21:37:00,1000,A57769,A69087,False
2bc6d128,ATM_0106,2024-01-04 08:21:00,500,A76560,A30839,False
d0f4ae76,ATM_0087,2024-01-04 16:22:00,2000,A25641,A11717,False
d8a6a79b,ATM_0154,2024-02-20 07:33:00,500,A28103,A44829,False
8156110d,ATM_0144,2024-01-18 20:22:00,500,A88653,A51628,False
968fa5a1,ATM_0029,2024-01-11 10:58:00,2000,A52822,A64093,True
e965eba2,ATM_0094,2024-01-27 05:15:00,500,A31186,A73817,False
b76b84d5,ATM_0167,2024-01-07 00:17:00,2000,A87137,A83501,True
df2d28fb,ATM_0170,2024-01-07 10:34:00,1000,A63079,A19397,False
51fccd4e,ATM_0084,2024-01-10 14:04:00,5000,A90615,A76686,False
2859af07,ATM_0159,2024-02-02 02:31:00,2000,A48195,A43292,False
7cb640bd,ATM_0158,2024-02-23 01:04:00,1000,A90640,A26659,False
4985b021,ATM_0038,2024-01-25 08:30:00,1000,A69810,A85888,False
21d29232,ATM_0173,2024-02-12 15:33:00,500,A29434,A68857,False
8fa0f736,ATM_0163,2024-01-26 03:28:00,2000,A65124,A23927,False
91bb34fd,ATM_0092,2024-01-15 23:16:00,5000,A14509,A80049,False
a321011a,ATM_0007,2024-02-14 11:57:00,2000,A98390,A43104,False
617e60fd,ATM_0104,2024-01-31 01:25:00,500,A57852,A65281,False
c507e31c,ATM_0038,2024-01-01 17:02:00,500,A84897,A84291,False
6e9e94c0,ATM_0142,2024-02-29 14:03:00,500,A84961,A60584,False
942d9330,ATM_0050,2024-01-26 00:46:00,5000,A50533,A78511,False
38101167,ATM_0038,2024-01-17 09:54:00,1000,A48882,A48871,False
42b50723,ATM_0064,2024-02-22 09:35:00,5000,A70895,A47239,False
6d322604,ATM_0066,2024-02-15 03:11:00,10000,A39396,A22979,False
63bda953,ATM_0005,2024-02-06 14:54:00,1000,A38136,A48478,False
a124d782,ATM_0101,2024-02-15 20:02:00,1000,A80224,A70006,False
da4a6988,ATM_0172,2024-01-17 08:47:00,1000,A24020,A64367,False
db3e08ef,ATM_0098,2024-02-02 12:42:00,500,A88433,A59821,False
e9873c3e,ATM_0165,2024-02-22 05:08:00,500,A17053,A66835,False
e9a5de24,ATM_0133,2024-02-12 21:23:00,2000,A80991,A51967,False
ef683105,ATM_0008,2024-02-15 20:05:00,10000,A22513,A82223,False
ef1ace96,ATM_0111,2024-01-06 19:52:00,1000,A45098,A34882,False
8c82534e,ATM_0099,2024-02-02 17:03:00,5000,A50656,A53072,False
a5a50a92,ATM_0065,2024-01-12 08:35:00,5000,A86812,A40277,False
21cbb501,ATM_0185,2024-01-05 20:58:00,1000,A96955,A42665,False
e0592ed1,ATM_0036,2024-02-20 03:33:00,5000,A12215,A53215,False
77c034b4,ATM_0045,2024-02-20 06:18:00,2000,A45750,A77653,False
68114196,ATM_0090,2024-01-03 10:55:00,500,A79343,A36991,False
0ea334b1,ATM_0038,2024-02-09 05:30:00,2000,A24995,A30379,False
8284d950,ATM_0171,2024-01-11 03:40:00,2000,A17654,A54149,False
eee09051,ATM_0177,2024-02-29 06:33:00,10000,A70136,A41269,False
7e049d5b,ATM_0079,2024-02-20 05:33:00,2000,A87710,A59828,False
6b1c1b5a,ATM_0043,2024-02-12 17:09:00,2000,A47323,A11187,False
69c30f67,ATM_0123,2024-02-29 09:32:00,2000,A32833,A81354,False
31dc6416,ATM_0093,2024-01-27 09:23:00,500,A78643,A32225,False
36a999dd,ATM_0023,2024-01-20 03:52:00,2000,A53947,A20421,True
d92f932f,ATM_0067,2024-02-26 22:51:00,1000,A67770,A65939,False
f3c46bb3,ATM_0157,2024-02-01 14:50:00,500,A20374,A49618,False
738aa6fd,ATM_0012,2024-02-08 08:50:00,5000,A12306,A76733,False
d20aa0d3,ATM_0118,2024-02-12 12:38:00,5000,A39366,A92926,False
24ec2b9c,ATM_0073,2024-02-06 01:11:00,1000,A19991,A19890,False
f4f89c3b,ATM_0006,2024-01-11 07:07:00,1000,A93395,A58589,False
26198823,ATM_0092,2024-02-14 20:15:00,1000,A28021,A75997,False
53769419,ATM_0057,2024-01-28 03:49:00,2000,A85330,A16737,False
aef3ad89,ATM_0075,2024-02-02 21:13:00,500,A73382,A33279,False
f7424c60,ATM_0115,2024-01-29 20:39:00,2000,A77863,A45343,False
2ba0180b,ATM_0039,2024-02-11 07:46:00,1000,A41656,A74621,False
39636e4c,ATM_0101,2024-01-24 20:09:00,500,A31200,A46226,False
50ab15ec,ATM_0075,2024-01-05 23:00:00,5000,A36577,A96943,False
a0385319,ATM_0065,2024-02-21 04:54:00,500,A82813,A96126,False
178f1bdf,ATM_0117,2024-02-28 17:53:00,5000,A57605,A78238,False
328e2e27,ATM_0030,2024-02-27 07:42:00,2000,A20539,A72360,False
aec9bb6b,ATM_0015,2024-01-22 02:00:00,5000,A65887,A16863,False
eaad49f4,ATM_0111,2024-02-21 11:15:00,1000,A48415,A18050,False
c219b3a1,ATM_0121,2024-01-01 03:26:00,500,A54043,A80644,False
6ed6acef,ATM_0128,2024-02-01 05:37:00,500,A45271,A54764,False
9ccfa230,ATM_0067,2024-01-22 04:55:00,2000,A40983,A36903,False
bd62670b,ATM_0070,2024-02-10 10:02:00,1000,A42758,A42343,False
4c02f5c2,ATM_0100,2024-01-22 15:04:00,10000,A32421,A66031,False
990f147a,ATM_0127,2024-01-11 05:02:00,1000,A29164,A87508,False
d6847d84,ATM_0007,2024-01-01 20:52:00,5000,A61852,A98984,True
b924b8ad,ATM_0141,2024-01-04 22:03:00,500,A92401,A86963,False
c91b8de9,ATM_0031,2024-01-17 07:58:00,2000,A26025,A16158,False
9a4375fa,ATM_0103,2024-02-09 03:48:00,1000,A23194,A24432,False
69e0ed67,ATM_0016,2024-02-13 01:37:00,5000,A58979,A73973,False
9f223305,ATM_0000,2024-01-01 16:48:00,500,A58806,A56978,False
b5fbd335,ATM_0019,2024-01-04 00:18:00,2000,A37193,A26186,False
9536048e,ATM_0075,2024-01-22 23:10:00,500,A66056,A26172,False
eea25d6e,ATM_0198,2024-02-05 13:59:00,500,A11963,A94152,False
38fb777b,ATM_0110,2024-01-30 10:27:00,500,A55479,A18243,False
d66eedbf,ATM_0143,2024-02-11 21:54:00,500,A63393,A12599,False
b6068a2b,ATM_0027,2024-02-20 17:37:00,1000,A67768,A75428,False
c313e29e,ATM_0069,2024-02-04 18:05:00,2000,A98929,A75825,False
2c2f2207,ATM_0047,2024-01-12 03:04:00,1000,A23343,A44651,False
9efb5d20,ATM_0021,2024-02-20 09:30:00,1000,A62231,A97547,False
a7ca029b,ATM_0144,2024-02-25 14:16:00,500,A42798,A19736,False
a6120bb3,ATM_0061,2024-02-25 10:02:00,1000,A77010,A62686,False
4e1dbd58,ATM_0184,2024-02-21 06:14:00,2000,A29130,A71784,False
8e7681a7,ATM_0118,2024-01-02 07:08:00,500,A16839,A95548,False
fe9ecf2f,ATM_0128,2024-02-18 10:15:00,500,A63260,A96262,True
6a976ee1,ATM_0145,2024-02-21 03:49:00,1000,A74700,A79013,False
9b9977e5,ATM_0109,2024-02-18 02:41:00,10000,A91670,A70575,False
7664d73b,ATM_0056,2024-02-18 18:14:00,2000,A23641,A36506,False
d5d5bf0d,ATM_0060,2024-02-15 01:24:00,2000,A79823,A65622,False
aa887d8a,ATM_0111,2024-02-26 09:13:00,500,A50221,A96472,False
26732666,ATM_0128,2024-01-31 18:56:00,1000,A20857,A80029,False
4a29e621,ATM_0147,2024-02-24 02:42:00,2000,A43012,A15774,False
954f9efd,ATM_0198,2024-02-29 23:19:00,5000,A34179,A93908,False
310b5dad,ATM_0028,2024-01-08 01:07:00,2000,A45538,A23549,False
649d2a02,ATM_0191,2024-02-06 19:07:00,500,A63648,A22543,False
3c41b4ca,ATM_0162,2024-01-12 23:52:00,5000,A56312,A99025,False
1681cfeb,ATM_0167,2024-01-17 07:48:00,1000,A49561,A13624,False
c1f78a7f,ATM_0185,2024-01-19 23:04:00,1000,A11932,A63283,False
debc42dd,ATM_0046,2024-02-02 16:13:00,10000,A82654,A79086,False
f2fd719e,ATM_0085,2024-01-06 22:32:00,10000,A59658,A22156,False
44550257,ATM_0097,2024-01-06 21:06:00,2000,A67780,A20274,False
a5ce6d4b,ATM_0136,2024-02-08 12:31:00,500,A15158,A61627,False
4e288111,ATM_0002,2024-02-05 10:50:00,500,A51736,A34218,False
f04a05dd,ATM_0068,2024-02-13 15:00:00,5000,A92210,A39856,False
ee05d949,ATM_0112,2024-01-11 16:03:00,1000,A73357,A96906,False
6e84bb42,ATM_0144,2024-01-30 20:12:00,500,A12285,A84773,False
ac2aeefd,ATM_0186,2024-01-26 16:38:00,10000,A51077,A33911,False
d5193688,ATM_0094,2024-01-02 07:15:00,5000,A24015,A77927,False
10dbd530,ATM_0103,2024-02-01 01:12:00,10000,A67226,A85006,False
5a151fbb,ATM_0021,2024-01-20 01:34:00,500,A42330,A25432,False
dce76c86,ATM_0131,2024-01-02 01:57:00,500,A50387,A30132,False
0982c5ca,ATM_0113,2024-01-26 22:52:00,1000,A30715,A98187,False
b98a2640,ATM_0083,2024-01-07 20:04:00,2000,A75577,A89835,False
6918b722,ATM_0029,2024-02-25 13:35:00,1000,A80778,A10175,False
a4df316c,ATM_0027,2024-02-22 05:41:00,10000,A25406,A14775,False
9612a93d,ATM_0084,2024-01-04 19:45:00,10000,A11221,A17021,False
9f21d1f3,ATM_0131,2024-01-08 10:39:00,500,A44903,A80396,False
7222c71c,ATM_0103,2024-02-14 06:28:00,1000,A50066,A45849,False
e2a95aad,ATM_0036,2024-01-09 08:05:00,500,A22826,A17345,False
4a241d03,ATM_0096,2024-02-23 04:24:00,500,A94794,A13340,False
4fc2b827,ATM_0023,2024-02-27 12:59:00,10000,A91481,A70800,False
